'Marital status','Application mode','Application order',Course,'Daytime/evening attendance','Previous qualification','Previous qualification (grade)',Nacionality,Mother_qualification,Father_qualification,Mother_occupation,Father_occupation,'Admission grade',Displaced,'Educational special needs',Debtor,'Tuition fees up to date',Gender,'Scholarship holder','Age at enrollment','Curricular units 1st sem (credited)','Curricular units 1st sem (enrolled)','Curricular units 1st sem (evaluations)','Curricular units 1st sem (approved)','Curricular units 1st sem (grade)','Curricular units 1st sem (without evaluations)','Curricular units 2nd sem (credited)','Curricular units 2nd sem (enrolled)','Curricular units 2nd sem (evaluations)','Curricular units 2nd sem (approved)','Curricular units 2nd sem (grade)','Curricular units 2nd sem (without evaluations)','Unemployment rate','Inflation rate',GDP,Target
single,'2nd phase - general contingent',5,'Animation and Multimedia Design',1,'Secondary education',122,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Other - 11th Year of Schooling','Personal Services; Security and Safety Workers and Sellers','Unskilled Workers',1.6999999999999997,1,0,0,1,1,0,0.2830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8604651162790706,2.4444444444444446,3.8309114927344785,Dropout
single,'International student (bachelor)',1,Tourism,1,'Secondary education',160,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Higher Education - Degree','Intermediate Level Technicians and Professions','Intermediate Level Technicians and Professions',2.5,1,0,0,0,1,0,0.18867924528301885,0.0,1.153846153846154,0.6666666666666666,1.153846153846154,3.708609271523179,0.0,0.0,1.3043478260869565,0.9090909090909092,1.5,3.679487184319527,0.0,3.662790697674419,0.5555555555555556,3.2034346103038307,Graduate
single,'1st phase - general contingent',5,'Communication Design',1,'Secondary education',122,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Unskilled Workers','Unskilled Workers',1.5684210526315787,1,0,0,0,1,0,0.18867924528301885,0.0,1.153846153846154,0.0,0.0,0.0,0.0,0.0,1.3043478260869565,0.0,0.0,0.0,0.0,1.8604651162790706,2.4444444444444446,3.8309114927344785,Dropout
single,'2nd phase - general contingent',2,'Journalism and Communication',1,'Secondary education',122,Portuguese,'Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Personal Services; Security and Safety Workers and Sellers','Intermediate Level Technicians and Professions',1.294736842105263,1,0,0,1,0,0,0.2830188679245283,0.0,1.153846153846154,0.888888888888889,1.153846153846154,3.5572373509933772,0.0,0.0,1.3043478260869565,1.5151515151515151,1.25,3.3384614614201205,0.0,1.0465116279069773,0.0,0.6208718626155876,Graduate
married,'Over 23 years old',1,'Social Service (evening attendance)',0,'Secondary education',100,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Unskilled Workers','Unskilled Workers',2.447368421052632,0,0,0,1,0,0,2.641509433962264,0.0,1.153846153846154,1.0,0.9615384615384616,3.2671080794701983,0.0,0.0,1.3043478260869565,0.9090909090909092,1.5,3.4999999192307714,0.0,3.662790697674419,0.5555555555555556,3.2034346103038307,Graduate
married,'Over 23 years old',1,'Management (evening attendance)',0,'Basic education 3rd cycle (9th/10th/11th year) or equivalent',133.1,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Unskilled Workers','Skilled Workers in Industry; Construction and Craftsmen',1.0421052631578946,0,0,1,1,1,0,3.1132075471698113,0.0,0.9615384615384616,1.1111111111111112,0.9615384615384616,3.1409650331125825,0.0,0.0,1.0869565217391304,2.5757575757575757,1.25,3.096153774704144,2.0833333333333335,5.0,1.2222222222222223,2.0739762219286657,Graduate
single,'1st phase - general contingent',1,Nursing,1,'Secondary education',142,Portuguese,'Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.','Skilled Workers in Industry; Construction and Craftsmen','Armed Forces Professions',1.7578947368421054,1,0,0,1,0,1,0.09433962264150943,0.0,1.346153846153846,1.0,1.346153846153846,3.52317880794702,0.0,0.0,1.7391304347826086,1.2121212121212122,2.0,3.8621152954896476,0.0,4.593023255813954,3.9999999999999996,0.0,Graduate
single,'3rd phase - general contingent',4,Tourism,1,'Secondary education',119,Portuguese,'Basic education 1st cycle (4th/5th year) or equiv.','Basic education 1st cycle (4th/5th year) or equiv.','Unskilled Workers','Unskilled Workers',0.9526315789473682,1,0,0,0,1,0,0.4716981132075472,0.0,0.9615384615384616,0.5555555555555556,0.0,0.0,0.0,0.0,1.0869565217391304,0.7575757575757576,0.0,0.0,0.0,4.593023255813954,3.9999999999999996,0.0,Dropout
single,'1st phase - general contingent',3,'Social Service',1,'Secondary education',137,Romanian,'Secondary Education - 12th Year of Schooling or Eq.','Secondary Education - 12th Year of Schooling or Eq.','Unskilled Workers','Unskilled Workers',1.8052631578947376,0,0,0,1,0,1,0.3773584905660377,0.0,1.153846153846154,0.888888888888889,1.153846153846154,3.6754966887417218,0.0,0.0,1.3043478260869565,1.0606060606060606,1.5,3.8076921813609497,0.0,5.0,1.2222222222222223,2.0739762219286657,Graduate
single,'1st phase - general contingent',1,'Social Service',1,'Secondary education',138,Portuguese,'Secondary Education - 12th Year of Schooling or Eq.','Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.','Administrative staff','Skilled Workers in Industry; Construction and Craftsmen',1.4736842105263157,1,0,1,0,0,0,0.09433962264150943,0.0,1.153846153846154,1.0,0.9615384615384616,3.0198675496688745,0.0,0.0,1.3043478260869565,2.121212121212121,0.5,3.634615300739647,0.0,0.7558139534883725,2.4444444444444446,5.0,Dropout
